ID,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,trip_type,congestion_surcharge,payment_type
T00876,1.0,2021-07-01 13:41:08,2021-07-01 14:36:53,N,2.0,74,132,1.0,52.0,0.0,0.5,10.0,6.55,,0.3,69.35,1.0,0.0,1.0
T01498,2.0,2021-07-01 18:33:34,2021-07-01 19:20:39,N,5.0,82,143,1.0,22.02,0.0,0.0,2.46,6.55,,0.3,34.08,1.0,2.75,1.0
T08153,2.0,2021-07-06 09:37:59,2021-07-06 09:46:37,N,1.0,74,75,1.0,7.5,0.0,0.5,2.08,0.0,,0.3,10.38,1.0,0.0,1.0
T03394,2.0,2021-07-02 18:24:34,2021-07-02 18:39:57,N,1.0,244,50,1.0,20.0,1.0,0.5,4.91,0.0,,0.3,29.46,1.0,2.75,1.0
T09784,2.0,2021-07-07 08:30:59,2021-07-07 08:40:24,N,1.0,7,129,1.0,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0,2.0
T05973,1.0,2021-07-04 15:29:54,2021-07-04 15:52:17,N,1.0,66,138,1.0,33.5,0.0,0.5,8.55,0.0,,0.3,42.85,1.0,0.0,1.0
T01621,2.0,2021-07-01 19:10:28,2021-07-01 19:18:13,N,1.0,75,263,1.0,7.5,1.0,0.5,2.17,0.0,,0.3,14.22,1.0,2.75,1.0
T03564,1.0,2021-07-02 19:58:43,2021-07-02 20:11:19,N,1.0,75,229,1.0,11.5,3.25,0.5,3.1,0.0,,0.3,18.65,1.0,2.75,1.0
T02032,2.0,2021-07-02 06:28:17,2021-07-02 06:34:02,N,1.0,74,74,1.0,6.0,0.0,0.5,1.36,0.0,,0.3,8.16,1.0,0.0,1.0
T06134,2.0,2021-07-04 17:20:54,2021-07-04 17:36:23,N,5.0,126,42,1.0,16.0,0.0,0.0,0.0,0.0,,0.3,16.3,2.0,0.0,2.0
T00694,1.0,2021-07-01 12:37:54,2021-07-01 12:56:39,N,1.0,65,256,1.0,14.5,0.0,0.5,3.05,0.0,,0.3,18.35,1.0,0.0,1.0
T07911,1.0,2021-07-06 07:11:06,2021-07-06 07:26:27,N,1.0,235,212,1.0,15.2,0.0,0.5,0.0,0.0,,0.3,16.0,1.0,0.0,1.0
T01485,2.0,2021-07-01 18:13:37,2021-07-02 17:57:23,N,1.0,75,237,1.0,11.0,1.0,0.5,1.56,0.0,,0.3,17.11,1.0,2.75,1.0
T06387,2.0,2021-07-04 21:13:07,2021-07-04 21:21:59,N,1.0,74,41,1.0,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,1.0,0.0,2.0
T07997,2.0,2021-07-06 08:34:58,2021-07-06 08:55:24,N,1.0,41,243,1.0,18.5,0.0,0.5,2.0,0.0,,0.3,21.3,1.0,0.0,1.0
T05894,2.0,2021-07-04 15:30:36,2021-07-04 16:06:07,N,1.0,75,216,1.0,39.5,0.0,0.5,1.15,6.55,,0.3,48.0,1.0,0.0,1.0
T06830,2.0,2021-07-05 12:56:14,2021-07-05 13:12:12,N,1.0,41,163,1.0,14.5,0.0,0.5,0.0,0.0,,0.3,18.05,1.0,2.75,2.0
T03435,2.0,2021-07-02 18:12:07,2021-07-02 18:30:00,N,1.0,189,61,1.0,13.5,1.0,0.5,0.0,0.0,,0.3,15.3,1.0,0.0,2.0
T09992,1.0,2021-07-07 09:17:50,2021-07-07 10:01:45,N,1.0,39,213,1.0,44.2,0.0,0.5,0.0,6.55,,0.3,51.55,1.0,0.0,1.0
T03226,2.0,2021-07-02 17:29:59,2021-07-02 17:39:11,N,1.0,153,136,1.0,7.5,1.0,0.5,0.0,0.0,,0.3,9.3,1.0,0.0,2.0
T08444,2.0,2021-07-06 12:40:09,2021-07-06 12:58:51,N,1.0,97,62,1.0,14.0,0.0,0.5,2.96,0.0,,0.3,17.76,1.0,0.0,1.0
T09141,2.0,2021-07-06 17:32:09,2021-07-06 17:47:01,N,1.0,43,262,6.0,11.0,1.0,0.5,3.11,0.0,,0.3,18.66,1.0,2.75,1.0
T08861,2.0,2021-07-06 15:09:34,2021-07-06 15:23:30,N,1.0,74,263,1.0,11.0,0.0,0.5,0.0,0.0,,0.3,14.55,1.0,2.75,2.0
T09327,2.0,2021-07-06 18:55:39,2021-07-06 19:01:43,N,1.0,95,95,1.0,5.5,1.0,0.5,1.46,0.0,,0.3,8.76,1.0,0.0,1.0
T08893,2.0,2021-07-06 15:34:34,2021-07-06 16:02:30,N,1.0,42,186,1.0,26.0,0.0,0.5,0.0,0.0,,0.3,29.55,1.0,2.75,1.0
T03586,2.0,2021-07-02 19:53:50,2021-07-02 19:56:34,N,1.0,41,41,6.0,4.0,1.0,0.5,1.45,0.0,,0.3,7.25,1.0,0.0,1.0
T06600,2.0,2021-07-05 08:33:19,2021-07-05 08:43:43,N,1.0,74,236,1.0,9.5,0.0,0.5,1.0,0.0,,0.3,14.05,1.0,2.75,1.0
T02287,2.0,2021-07-02 09:51:48,2021-07-02 10:01:45,N,1.0,75,262,1.0,8.5,0.0,0.5,2.41,0.0,,0.3,14.46,1.0,2.75,1.0
T04489,2.0,2021-07-03 14:06:47,2021-07-03 14:21:23,N,1.0,41,74,1.0,15.0,0.0,0.5,4.0,0.0,,0.3,19.8,1.0,0.0,1.0
T03946,2.0,2021-07-03 03:27:50,2021-07-03 03:36:28,N,1.0,41,244,1.0,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,1.0,0.0,2.0
T03844,2.0,2021-07-02 23:38:33,2021-07-02 23:44:58,N,1.0,74,41,1.0,7.0,0.5,0.5,1.0,0.0,,0.3,9.3,1.0,0.0,1.0
T07172,1.0,2021-07-05 16:02:07,2021-07-05 16:04:35,N,1.0,75,41,1.0,4.0,0.0,0.5,1.4,0.0,,0.3,6.2,1.0,0.0,1.0
T04412,1.0,2021-07-03 13:12:57,2021-07-03 13:25:19,N,1.0,75,162,1.0,11.5,2.75,0.5,3.0,0.0,,0.3,18.05,1.0,2.75,1.0
T08972,2.0,2021-07-06 16:36:41,2021-07-06 16:42:01,N,1.0,134,134,1.0,5.5,1.0,0.5,1.46,0.0,,0.3,8.76,1.0,0.0,1.0
T00647,2.0,2021-07-01 11:58:22,2021-07-01 12:38:13,N,1.0,244,90,1.0,36.0,0.0,0.5,7.91,0.0,,0.3,47.46,1.0,2.75,1.0
T03965,1.0,2021-07-03 05:36:07,2021-07-03 05:38:43,N,1.0,129,129,1.0,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,1.0,0.0,2.0
T09041,2.0,2021-07-06 16:31:08,2021-07-06 16:46:53,N,1.0,42,247,1.0,12.0,1.0,0.5,0.0,0.0,,0.3,13.8,1.0,0.0,2.0
T09155,2.0,2021-07-06 17:06:20,2021-07-06 17:27:25,N,5.0,75,230,1.0,25.0,0.0,0.0,0.0,0.0,,0.3,28.05,2.0,2.75,1.0
T03207,2.0,2021-07-02 16:28:44,2021-07-02 16:42:33,N,1.0,24,75,1.0,10.5,1.0,0.5,0.0,0.0,,0.3,12.3,1.0,0.0,1.0
T08410,2.0,2021-07-06 11:21:01,2021-07-06 11:29:53,N,1.0,122,191,1.0,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,1.0,0.0,2.0
T03529,2.0,2021-07-02 19:19:15,2021-07-02 19:24:30,N,1.0,7,179,1.0,5.5,1.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0,2.0
T09323,2.0,2021-07-06 18:34:31,2021-07-06 18:39:39,N,1.0,41,41,3.0,5.0,1.0,0.5,1.36,0.0,,0.3,8.16,1.0,0.0,1.0
T05487,2.0,2021-07-04 08:23:46,2021-07-04 08:33:00,N,1.0,65,256,1.0,10.5,0.0,0.5,3.39,0.0,,0.3,14.69,1.0,0.0,1.0
T07912,1.0,2021-07-06 07:33:43,2021-07-06 08:04:00,N,1.0,213,244,1.0,18.2,0.0,0.5,0.0,0.0,,0.3,19.0,1.0,0.0,1.0
T02966,2.0,2021-07-02 15:47:22,2021-07-02 15:51:14,N,1.0,95,95,1.0,4.5,0.0,0.5,1.06,0.0,,0.3,6.36,1.0,0.0,1.0
T09292,2.0,2021-07-06 18:50:43,2021-07-06 19:44:37,N,1.0,250,76,2.0,56.5,1.0,0.5,0.0,6.55,,0.3,64.85,1.0,0.0,1.0
T05335,2.0,2021-07-04 00:55:59,2021-07-04 01:31:01,N,1.0,226,83,2.0,20.0,0.5,0.5,0.0,0.0,,0.3,21.3,1.0,0.0,2.0
T03957,2.0,2021-07-03 04:21:48,2021-07-03 04:21:52,N,5.0,129,129,1.0,10.0,0.0,0.0,0.0,0.0,,0.3,10.3,2.0,0.0,1.0
T07599,2.0,2021-07-05 20:23:09,2021-07-05 20:32:08,N,1.0,82,92,1.0,14.0,0.5,0.5,0.0,0.0,,0.3,15.3,1.0,0.0,2.0
T01537,1.0,2021-07-01 18:25:53,2021-07-01 19:03:18,N,1.0,223,135,1.0,28.0,1.0,0.5,0.0,0.0,,0.3,29.8,1.0,0.0,2.0
T05582,2.0,2021-07-04 10:06:32,2021-07-04 10:08:26,N,1.0,74,41,1.0,3.5,0.0,0.5,0.0,0.0,,0.3,4.3,1.0,0.0,2.0
T01632,2.0,2021-07-01 19:27:08,2021-07-01 19:41:08,N,1.0,75,237,1.0,11.5,1.0,0.5,3.21,0.0,,0.3,19.26,1.0,2.75,1.0
T06443,2.0,2021-07-04 23:55:38,2021-07-04 23:55:40,N,5.0,80,80,5.0,45.0,0.0,0.0,9.06,0.0,,0.3,54.36,2.0,0.0,1.0
T08252,2.0,2021-07-06 10:37:28,2021-07-06 11:25:36,N,1.0,195,213,2.0,62.0,0.0,0.5,0.0,6.55,,0.3,69.35,1.0,0.0,1.0
T01212,2.0,2021-07-01 16:05:00,2021-07-01 17:01:39,N,1.0,197,22,1.0,61.5,1.0,0.5,0.0,0.0,,0.3,63.3,1.0,0.0,1.0
T07406,2.0,2021-07-05 14:53:25,2021-07-05 15:02:45,N,1.0,74,263,1.0,9.5,0.0,0.5,1.58,0.0,,0.3,14.63,1.0,2.75,1.0
T03801,2.0,2021-07-02 22:58:55,2021-07-02 23:00:51,N,1.0,7,7,1.0,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,1.0,0.0,2.0
T09345,2.0,2021-07-06 19:04:01,2021-07-06 19:08:07,N,1.0,134,28,2.0,5.0,1.0,0.5,2.04,0.0,,0.3,8.84,1.0,0.0,1.0
T09747,2.0,2021-07-07 07:03:45,2021-07-08 00:00:00,N,1.0,95,65,1.0,33.0,0.0,0.5,6.76,0.0,,0.3,40.56,1.0,0.0,1.0
T00628,2.0,2021-07-01 11:17:08,2021-07-01 11:17:11,N,5.0,7,264,1.0,12.0,0.0,0.0,0.0,0.0,,0.3,12.3,2.0,0.0,1.0
T05607,2.0,2021-07-04 11:41:16,2021-07-04 11:41:51,N,1.0,23,23,2.0,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,1.0,0.0,2.0
T07796,2.0,2021-07-06 00:32:50,2021-07-06 00:39:10,N,1.0,42,116,1.0,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,1.0,0.0,2.0
T08959,2.0,2021-07-06 16:38:21,2021-07-06 16:48:12,N,1.0,7,193,1.0,9.0,1.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0,2.0
T07503,1.0,2021-07-05 19:24:27,2021-07-05 19:32:44,N,1.0,74,24,1.0,8.0,0.0,0.5,1.75,0.0,,0.3,10.55,1.0,0.0,1.0
T00895,2.0,2021-07-01 13:13:03,2021-07-01 13:13:20,N,1.0,193,193,1.0,-2.5,0.0,-0.5,-0.66,0.0,,-0.3,-3.96,1.0,0.0,3.0
T00940,2.0,2021-07-01 14:28:21,2021-07-01 14:37:54,N,1.0,244,166,1.0,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,1.0,0.0,2.0
T03133,1.0,2021-07-02 16:00:09,2021-07-02 16:09:23,N,1.0,65,97,1.0,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,1.0,0.0,2.0
T00112,2.0,2021-07-01 07:11:51,2021-07-01 07:17:35,N,1.0,74,42,1.0,6.0,0.0,0.5,1.36,0.0,,0.3,8.16,1.0,0.0,1.0
T06247,2.0,2021-07-04 19:49:32,2021-07-04 20:01:32,N,1.0,76,76,1.0,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,1.0,0.0,1.0
T03189,2.0,2021-07-02 16:40:18,2021-07-02 16:57:06,N,1.0,95,258,1.0,14.0,1.0,0.5,0.0,0.0,,0.3,15.8,1.0,0.0,2.0
T03115,2.0,2021-07-02 16:09:40,2021-07-02 16:16:00,N,1.0,75,74,1.0,6.5,1.0,0.5,0.0,0.0,,0.3,8.3,1.0,0.0,1.0
T06272,2.0,2021-07-04 19:25:06,2021-07-04 19:56:58,N,1.0,42,158,1.0,27.5,0.0,0.5,0.0,0.0,,0.3,31.05,1.0,2.75,1.0
T00643,2.0,2021-07-01 11:12:29,2021-07-01 11:23:19,N,1.0,74,75,1.0,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,1.0,0.0,2.0
T03866,2.0,2021-07-02 23:49:57,2021-07-02 23:59:20,N,1.0,244,116,1.0,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,1.0,0.0,2.0
T04677,2.0,2021-07-03 15:28:32,2021-07-03 15:38:56,N,1.0,74,238,1.0,10.5,0.0,0.5,1.0,0.0,,0.3,15.05,1.0,2.75,1.0
T02266,1.0,2021-07-02 09:00:15,2021-07-02 09:01:32,N,1.0,74,74,1.0,3.0,0.0,0.5,0.0,0.0,,0.3,3.8,1.0,0.0,4.0
T06753,2.0,2021-07-05 11:42:13,2021-07-05 11:49:26,N,1.0,260,223,1.0,9.5,0.0,0.5,2.06,0.0,,0.3,12.36,1.0,0.0,1.0
T06033,2.0,2021-07-04 16:08:53,2021-07-04 16:33:31,N,1.0,134,82,1.0,28.0,0.0,0.5,0.0,0.0,,0.3,28.8,1.0,0.0,1.0
T08915,2.0,2021-07-06 15:45:27,2021-07-06 16:56:30,N,1.0,197,213,1.0,57.0,0.0,0.5,0.0,6.55,,0.3,64.35,1.0,0.0,1.0
T08885,2.0,2021-07-06 14:57:12,2021-07-06 15:09:16,N,1.0,74,42,1.0,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0,2.0
T07199,2.0,2021-07-05 16:52:03,2021-07-05 17:03:50,N,1.0,129,56,1.0,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0,2.0
T04031,2.0,2021-07-03 08:57:52,2021-07-03 09:04:00,N,1.0,74,74,1.0,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,1.0,0.0,1.0
T08072,1.0,2021-07-06 08:50:13,2021-07-06 09:03:51,N,1.0,74,42,3.0,10.0,0.0,0.5,1.0,0.0,,0.3,11.8,1.0,0.0,1.0
T09188,2.0,2021-07-06 18:13:05,2021-07-06 18:17:44,N,1.0,33,52,1.0,5.0,1.0,0.5,0.68,0.0,,0.3,7.48,1.0,0.0,1.0
T05787,2.0,2021-07-04 13:43:09,2021-07-04 14:06:30,N,1.0,41,31,1.0,22.0,0.0,0.5,0.0,0.0,,0.3,22.8,1.0,0.0,2.0
T02804,2.0,2021-07-02 14:03:14,2021-07-02 14:25:58,N,1.0,75,48,1.0,17.0,0.0,0.5,4.11,0.0,,0.3,24.66,1.0,2.75,1.0
T08796,2.0,2021-07-06 15:19:22,2021-07-06 16:02:42,N,1.0,82,60,1.0,34.5,0.0,0.5,0.0,6.55,,0.3,41.85,1.0,0.0,2.0
T06785,2.0,2021-07-05 11:49:12,2021-07-05 12:02:44,N,1.0,243,238,1.0,18.5,0.0,0.5,4.41,0.0,,0.3,26.46,1.0,2.75,1.0
T04274,2.0,2021-07-03 11:26:12,2021-07-03 11:31:58,N,1.0,97,66,1.0,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0,1.0
T08421,2.0,2021-07-06 11:19:55,2021-07-06 11:37:43,N,1.0,166,43,1.0,14.5,0.0,0.5,3.61,0.0,,0.3,21.66,1.0,2.75,1.0
T02298,2.0,2021-07-02 10:02:01,2021-07-02 10:14:58,N,1.0,42,74,1.0,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0,2.0
T09076,2.0,2021-07-06 17:21:28,2021-07-06 17:24:17,N,1.0,166,151,2.0,4.0,1.0,0.5,0.0,0.0,,0.3,5.8,1.0,0.0,2.0
T07255,1.0,2021-07-05 17:13:24,2021-07-05 17:24:30,N,1.0,66,255,1.0,13.0,0.0,0.5,2.75,0.0,,0.3,16.55,1.0,0.0,1.0
T00927,2.0,2021-07-01 14:14:03,2021-07-01 14:43:13,N,1.0,41,42,1.0,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,1.0,0.0,2.0
T09890,2.0,2021-07-07 08:48:08,2021-07-07 08:57:13,N,1.0,41,151,1.0,8.0,0.0,0.5,1.2,0.0,,0.3,10.0,1.0,0.0,1.0
T09175,2.0,2021-07-06 17:03:55,2021-07-06 17:13:44,N,1.0,43,142,1.0,9.5,1.0,0.5,0.7,0.0,,0.3,14.75,1.0,2.75,1.0
T03013,2.0,2021-07-02 15:50:29,2021-07-02 16:03:46,N,1.0,152,74,1.0,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0,2.0
T04533,1.0,2021-07-03 14:23:20,2021-07-03 14:29:20,N,1.0,95,95,1.0,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,1.0,0.0,2.0
T01980,2.0,2021-07-02 04:25:47,2021-07-02 04:25:51,N,1.0,210,264,1.0,2.5,0.5,0.5,0.0,0.0,,0.3,3.8,1.0,0.0,2.0
T05592,2.0,2021-07-04 10:53:42,2021-07-04 11:45:33,N,1.0,3,108,1.0,83.5,0.0,0.5,0.0,6.55,,0.3,90.85,1.0,0.0,1.0
T03603,2.0,2021-07-02 19:46:52,2021-07-02 19:49:35,N,1.0,82,129,1.0,3.5,1.0,0.5,0.0,0.0,,0.3,5.3,1.0,0.0,2.0
T00679,2.0,2021-07-01 12:36:43,2021-07-01 13:01:01,N,1.0,75,162,1.0,16.5,0.0,0.5,4.01,0.0,,0.3,24.06,1.0,2.75,1.0
T06310,1.0,2021-07-04 20:46:53,2021-07-04 21:03:57,N,1.0,256,65,3.0,14.0,0.5,0.5,3.05,0.0,,0.3,18.35,1.0,0.0,1.0
T04108,2.0,2021-07-03 09:03:29,2021-07-03 09:46:37,N,1.0,129,179,2.0,51.5,0.0,0.5,0.0,0.0,,0.3,52.3,1.0,0.0,1.0
T08034,2.0,2021-07-06 08:33:54,2021-07-06 08:45:43,N,1.0,74,166,1.0,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,1.0,0.0,1.0
T06057,2.0,2021-07-04 17:15:56,2021-07-04 17:33:57,N,1.0,116,159,1.0,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,1.0,0.0,2.0
T08420,2.0,2021-07-06 11:47:59,2021-07-06 12:00:46,N,1.0,130,132,1.0,17.0,0.0,0.5,3.0,0.0,,0.3,20.8,1.0,0.0,1.0
T07855,2.0,2021-07-06 06:07:30,2021-07-06 06:13:05,N,1.0,130,130,1.0,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,1.0,0.0,2.0
T04696,2.0,2021-07-03 16:56:40,2021-07-04 16:38:35,N,1.0,33,66,1.0,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,1.0,0.0,2.0
T04532,1.0,2021-07-03 14:40:13,2021-07-03 14:56:08,N,1.0,166,142,1.0,13.5,2.75,0.5,3.4,0.0,,0.3,20.45,1.0,2.75,1.0
T08894,2.0,2021-07-06 15:21:58,2021-07-06 15:39:03,N,1.0,196,82,6.0,12.0,0.0,0.5,0.0,0.0,,0.3,12.8,1.0,0.0,2.0
T00158,2.0,2021-07-01 07:33:30,2021-07-01 07:36:38,N,1.0,75,74,1.0,5.5,0.0,0.5,2.0,0.0,,0.3,8.3,1.0,0.0,1.0
T05784,2.0,2021-07-04 13:27:06,2021-07-04 13:49:33,N,1.0,33,89,2.0,16.5,0.0,0.5,0.0,0.0,,0.3,17.3,1.0,0.0,2.0
T03020,2.0,2021-07-02 15:56:18,2021-07-02 16:03:06,N,1.0,166,151,1.0,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,1.0,0.0,2.0
T00213,2.0,2021-07-01 08:38:26,2021-07-01 08:43:40,N,1.0,166,152,1.0,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,1.0,0.0,2.0
T06202,2.0,2021-07-04 18:21:22,2021-07-04 18:37:09,N,1.0,74,244,1.0,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,1.0,0.0,2.0
T06074,1.0,2021-07-04 17:46:36,2021-07-04 17:51:19,N,1.0,97,49,1.0,5.5,0.0,0.5,1.25,0.0,,0.3,7.55,1.0,0.0,1.0
T01779,1.0,2021-07-01 21:32:55,2021-07-01 21:56:19,N,1.0,97,68,1.0,19.5,3.25,0.5,4.7,0.0,,0.3,28.25,1.0,2.75,1.0
T09250,2.0,2021-07-06 18:48:58,2021-07-06 18:56:24,N,1.0,42,41,6.0,7.0,1.0,0.5,0.0,0.0,,0.3,8.8,1.0,0.0,2.0
T09781,2.0,2021-07-07 08:31:35,2021-07-07 08:32:28,N,1.0,193,193,1.0,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,1.0,0.0,1.0
T09015,2.0,2021-07-06 16:47:45,2021-07-06 17:28:24,N,1.0,75,208,1.0,33.0,1.0,0.5,10.34,6.55,,0.3,51.69,1.0,0.0,1.0
T07216,2.0,2021-07-05 16:42:37,2021-07-05 16:47:40,N,1.0,196,95,1.0,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,1.0,0.0,2.0
T05085,2.0,2021-07-03 19:08:17,2021-07-03 19:13:11,N,1.0,74,75,1.0,5.5,0.0,0.5,0.94,0.0,,0.3,7.24,1.0,0.0,1.0
T00682,2.0,2021-07-01 12:06:40,2021-07-01 12:13:48,N,1.0,244,244,1.0,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0,2.0
T06536,2.0,2021-07-05 05:25:48,2021-07-05 06:48:50,N,1.0,71,136,1.0,91.5,0.5,0.5,0.0,6.55,,0.3,99.35,1.0,0.0,1.0
T00138,2.0,2021-07-01 07:07:28,2021-07-01 07:10:24,N,1.0,74,75,1.0,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,1.0,0.0,2.0
T06935,2.0,2021-07-05 14:07:03,2021-07-05 14:25:01,N,1.0,42,140,2.0,17.0,0.0,0.5,2.0,0.0,,0.3,22.55,1.0,2.75,1.0
T07881,2.0,2021-07-06 06:48:15,2021-07-06 07:04:49,N,1.0,74,126,1.0,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,1.0,0.0,2.0
T09720,2.0,2021-07-07 08:01:20,2021-07-07 08:06:09,N,1.0,41,75,1.0,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,1.0,0.0,2.0
T00861,1.0,2021-07-01 13:36:40,2021-07-01 13:39:55,N,1.0,7,7,1.0,4.5,0.0,0.5,2.0,0.0,,0.3,7.3,1.0,0.0,1.0
T08681,2.0,2021-07-06 14:36:19,2021-07-07 14:01:58,N,1.0,41,243,1.0,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,1.0,0.0,1.0
